GridIndex, TrialID, ISA, lAnalysis1.nGo, lAnalysis1.nNoGo, lAnalysis1.nPause, lAnalysis1.dPrGrtMAV, bISAAnalysisRun
1, 113, 2, 1, 0, 0, 1, 1
1, 114, 2, 0, 0, 1, 0.986533333333333, 1
1, 115, 2, 0, 0, 1, 0.958533333333333, 1
1, 116, 2, 1, 0, 0, 1, 1
1, 117, 2, 1, 0, 0, 1, 1
1, 118, 2, 1, 0, 0, 1, 1
1, 119, 2, 1, 0, 0, 0.997466666666667, 1
1, 120, 2, 1, 0, 0, 0.999866666666667, 1
1, 121, 2, 1, 0, 0, 1, 1
1, 122, 2, 1, 0, 0, 1, 1
1, 123, 2, 1, 0, 0, 1, 1
1, 124, 2, 1, 0, 0, 1, 1
1, 125, 2, 1, 0, 0, 1, 1
1, 126, 2, 0, 0, 1, 0.951733333333333, 1
1, 127, 2, 1, 0, 0, 0.999466666666667, 1
1, 128, 2, 1, 0, 0, 1, 1
1, 129, 2, 1, 0, 0, 1, 1
1, 130, 2, 0, 0, 1, 0.971466666666667, 1
1, 131, 2, 1, 0, 0, 1, 1
1, 132, 2, 1, 0, 0, 1, 1
1, 133, 2, 1, 0, 0, 0.995466666666667, 1
1, 134, 2, 1, 0, 0, 1, 1
1, 135, 2, 1, 0, 0, 0.999866666666667, 1
1, 136, 2, 1, 0, 0, 0.999066666666667, 1
1, 137, 2, 1, 0, 0, 0.999866666666667, 1
1, 138, 2, 1, 0, 0, 0.999866666666667, 1
1, 139, 2, 0, 0, 1, 0.987733333333333, 1
1, 140, 2, 1, 0, 0, 1, 1
1, 141, 2, 1, 0, 0, 1, 1
1, 142, 2, 1, 0, 0, 0.999466666666667, 1
1, 143, 2, 1, 0, 0, 0.9992, 1
1, 144, 2, 1, 0, 0, 1, 1
1, 145, 2, 1, 0, 0, 1, 1
1, 146, 2, 0, 0, 1, 0.981733333333333, 1
1, 147, 2, 1, 0, 0, 0.999733333333333, 1
1, 148, 2, 1, 0, 0, 1, 1
1, 149, 2, 1, 0, 0, 0.999866666666667, 1
1, 150, 2, 0, 0, 1, 0.979066666666667, 1
1, 151, 2, 1, 0, 0, 0.999866666666667, 1
1, 152, 2, 1, 0, 0, 1, 1
1, 153, 2, 1, 0, 0, 1, 1
1, 154, 2, 1, 0, 0, 0.993866666666667, 1
1, 155, 2, 1, 0, 0, 1, 1
1, 156, 2, 0, 0, 1, 0.965866666666667, 1
1, 157, 2, 1, 0, 0, 0.9996, 1
1, 158, 2, 1, 0, 0, 0.991066666666667, 1
1, 159, 2, 1, 0, 0, 0.9904, 1
1, 160, 2, 1, 0, 0, 1, 1
1, 161, 2, 0, 0, 1, 0.925466666666667, 1
1, 162, 2, 1, 0, 0, 0.998666666666667, 1
1, 163, 2, 1, 0, 0, 1, 1
1, 164, 2, 1, 0, 0, 0.999733333333333, 1
1, 165, 2, 1, 0, 0, 0.998533333333333, 1
1, 166, 2, 1, 0, 0, 1, 1
1, 167, 2, 1, 0, 0, 1, 1
1, 168, 2, 1, 0, 0, 0.999733333333333, 1
1, 169, 2, 0, 0, 1, 0.872133333333333, 1
1, 170, 2, 1, 0, 0, 1, 1
1, 171, 2, 1, 0, 0, 0.9976, 1
1, 172, 2, 1, 0, 0, 0.998266666666667, 1
