Design, iScen, GridIndex, TrialID, ISA1Status, ISA2Status, CurrentTime, ISA1Trt1, ISA1Trt2, ISA2Trt1, ISA2Trt3, ISAStart1, ISAStart2, ISAPause1, ISAPause2, FinalPatientEnrolledTimeISA1, FinalPatientEnrolledTimeISA2, StartIAISA1, StartIAISA2, FinalAnalysisTimeISA1, FinalAnalysisTimeISA2
1, 1, 1, 1, 7, 7, 26.5267959676754, 85, 85, 100, 100, 0, 6, 0, 0, 19.1590608568517, 25.5267859676754, 20.1655385357029, 26.5267959676754, 20.1655385357029, 26.5267959676754
1, 1, 1, 2, 7, 7, 26.6025570872502, 85, 85, 100, 100, 0, 6, 0, 0, 18.1683647874416, 25.6025470872502, 19.2134581623183, 26.6025570872502, 19.2134581623183, 26.6025570872502
1, 1, 1, 3, 7, 7, 28.9364313832642, 85, 85, 100, 100, 0, 6, 0, 0, 18.3079849029364, 27.9364213832642, 19.4085242733163, 28.9364313832642, 19.4085242733163, 28.9364313832642
1, 1, 1, 4, 7, 7, 25.9718487230977, 85, 85, 100, 100, 0, 6, 0, 0, 17.237102121256, 24.9718387230977, 18.2709629401333, 25.9718487230977, 18.2709629401333, 25.9718487230977
1, 1, 1, 5, 7, 7, 26.088366510547, 85, 85, 100, 100, 0, 6, 0, 0, 17.7060787997674, 25.088356510547, 18.7781486834603, 26.088366510547, 18.7781486834603, 26.088366510547
1, 1, 1, 6, 7, 7, 25.8017317627293, 85, 85, 100, 100, 0, 6, 0, 0, 16.80522931588, 24.8017217627293, 17.8117880103863, 25.8017317627293, 17.8117880103863, 25.8017317627293
1, 1, 1, 7, 7, 7, 25.6896068744199, 85, 85, 100, 100, 0, 6, 0, 0, 17.8866646012306, 24.6895968744199, 18.9370316746889, 25.6896068744199, 18.9370316746889, 25.6896068744199
1, 1, 1, 8, 7, 7, 27.2224945421078, 85, 85, 100, 100, 0, 6, 0, 0, 17.0481251661682, 26.2224845421078, 18.1190897446159, 27.2224945421078, 18.1190897446159, 27.2224945421078
1, 1, 1, 9, 7, 7, 27.0234467376504, 85, 85, 100, 100, 0, 6, 0, 0, 20.7905594106036, 26.0234367376504, 21.8309830135872, 27.0234467376504, 21.8309830135872, 27.0234467376504
1, 1, 1, 10, 7, 7, 27.0712735071824, 85, 85, 100, 100, 0, 6, 0, 0, 19.0080530347923, 26.0712635071824, 20.2758684539407, 27.0712735071824, 20.2758684539407, 27.0712735071824
1, 1, 1, 11, 7, 7, 25.4624265296387, 85, 85, 100, 100, 0, 6, 0, 0, 16.0617697609238, 24.4624165296387, 17.0932405725065, 25.4624265296387, 17.0932405725065, 25.4624265296387
1, 1, 1, 12, 7, 7, 24.461423333949, 85, 85, 100, 100, 0, 6, 0, 0, 16.7859546946108, 23.461413333949, 17.8134687638386, 24.461423333949, 17.8134687638386, 24.461423333949
1, 1, 1, 13, 7, 7, 26.5747327846776, 85, 85, 100, 100, 0, 6, 0, 0, 18.8166837324993, 25.5747227846776, 19.9238063556396, 26.5747327846776, 19.9238063556396, 26.5747327846776
1, 1, 1, 14, 7, 7, 26.2950950180111, 85, 85, 100, 100, 0, 6, 0, 0, 20.928752793793, 25.2950850180111, 22.0283485065353, 26.2950950180111, 22.0283485065353, 26.2950950180111
